0.938275,0.000744942,2
1.23154,0.000914951,3
1.39521,0.00113295,4
1.64398,0.00136537,5
1.82279,0.00154294,6
2.00806,0.00179359,7
2.15974,0.00199189,8
2.30771,0.0027726,9
2.45006,0.00266748,10
2.57918,0.00319908,11
2.68975,0.00355508,12
2.82794,0.00352208,13
2.9343,0.00395417,14
3.03605,0.00448797,15
3.14418,0.00446374,16
3.25483,0.00451877,17
3.37978,0.00587681,18
3.47188,0.0061871,19
3.54914,0.00616381,20
3.63075,0.0063171,21
3.72458,0.00737608,22
3.86169,0.0073779,23
3.90044,0.0089517,24
3.9892,0.00895496,25
4.0514,0.00801951,26
4.16925,0.00903037,27
4.22581,0.0112882,28
4.38472,0.0112642,29
4.44087,0.0144762,30
