0.940458,0.000793819,2
1.23108,0.000908525,3
1.38352,0.00120208,4
1.63954,0.00132324,5
1.81995,0.00154904,6
2.00501,0.00178364,7
2.15763,0.00213398,8
2.31036,0.00221365,9
2.44215,0.00253821,10
2.57332,0.00315853,11
2.69475,0.00323056,12
2.84287,0.00352537,13
2.9162,0.00441291,14
3.04328,0.0047022,15
3.14507,0.00446904,16
3.20129,0.00435672,17
3.3138,0.00493871,18
3.36524,0.00596432,19
3.42096,0.00755078,20
3.46853,0.004947,21
3.53801,0.00471492,22
3.49119,0.00447901,23
3.5984,0.00442826,24
3.69593,0.00512891,25
3.70973,0.00552793,26
3.54208,0.00755127,27
3.6688,0.00603869,28
3.65663,0.00478535,29
3.83642,0.00640289,30
